item-db-1  | 2025-04-13T14:04:11.711+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=c0774923d8a4
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2025-04-13T14:04:11.712+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1   | 2025-04-13T14:04:11.715+0000 I STORAGE  [initandlisten] 
item-db-1   | 2025-04-13T14:04:11.715+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1   | 2025-04-13T14:04:11.715+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1   | 2025-04-13T14:04:11.715+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3420M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1   | 2025-04-13T14:04:12.196+0000 I STORAGE  [initandlisten] WiredTiger message [1744553052:196453][1:0x7f59dd35ba40], txn-recover: Set global recovery timestamp: 0
